path	disposition
.agents/notes/implemented/process/2026-07-23-translation-prompt-v4-contract.zh.md	excluded-historical-note
.agents/skills/dsh-archive-agent-notes/SKILL.md	in-source-manifest
.agents/skills/dsh-code-review/SKILL.md	in-source-manifest
.agents/skills/dsh-doc-site-sync/SKILL.md	in-source-manifest
.agents/skills/dsh-doc-standards/SKILL.md	in-source-manifest
.agents/skills/dsh-find-simplifications/SKILL.md	in-source-manifest
.agents/skills/dsh-merging-stacked-prs/SKILL.md	in-source-manifest
.agents/skills/dsh-pre-push-checks/SKILL.md	in-source-manifest
.agents/skills/dsh-prose-standard/SKILL.md	in-source-manifest
.agents/skills/dsh-translate-docs/SKILL.md	in-source-manifest
.agents/skills/dsh-trim-cot-leakage/SKILL.md	in-source-manifest
.agents/skills/record-browser-gif/SKILL.md	in-source-manifest
.claude/skills	in-source-manifest
.github/AGENTS.md	in-source-manifest
AGENTS.md	in-source-manifest
CLAUDE.md	in-source-manifest
apps/cli/config/agent-presets/code/agent.cordis.yml	in-source-manifest
apps/cli/config/agent-presets/code/preset.yml	in-source-manifest
apps/cli/config/agent-presets/cordis/agent.cordis.yml	in-source-manifest
apps/cli/config/agent-presets/cordis/preset.yml	in-source-manifest
apps/cli/config/agent-presets/cordis/skills/cordis-plugin-development/SKILL.md	in-source-manifest
apps/cli/config/agent-presets/cordis/skills/editing-cordis-compositions/SKILL.md	in-source-manifest
apps/cli/config/agent-presets/minimal/agent.cordis.yml	in-source-manifest
apps/cli/config/agent-presets/minimal/preset.yml	in-source-manifest
apps/cli/config/agent-presets/standard/agent.cordis.yml	in-source-manifest
apps/cli/config/agent-presets/standard/preset.yml	in-source-manifest
apps/web/tests/snapshots/fresh-round-trip/system-prompt.expected.md	excluded-test-or-fixture
apps/web/tests/snapshots/web-runtime-context/file-reference-prompt.expected.md	excluded-test-or-fixture
apps/web/tests/snapshots/web-runtime-context/web-surface-prompt.expected.md	excluded-test-or-fixture
docs/AGENTS.md	in-source-manifest
docs/i18n/translation-prompt.md	in-source-manifest
docs/subsystems/system-prompt.i18n.yaml	excluded-product-runtime-doc
docs/subsystems/system-prompt.md	excluded-product-runtime-doc
docs/subsystems/system-prompt.zh.md	excluded-product-runtime-doc
examples/AGENTS.md	in-source-manifest
examples/CLAUDE.md	in-source-manifest
examples/acp-agent/agent-instructions.cordis.snapshot.yml	excluded-product-runtime-or-implementation
examples/acp-agent/agent-instructions.cordis.yml	excluded-product-runtime-or-implementation
examples/acp-agent/tests/snapshots/advanced-toolchain/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/agent-instructions/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/agent-instructions/workspace/AGENTS.md	in-source-manifest
examples/acp-agent/tests/snapshots/agent-instructions/workspace/nested/AGENTS.md	in-source-manifest
examples/acp-agent/tests/snapshots/both-mode-turn/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/code-mode-read-image/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/code-mode-turn/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/code-mode-workspace-context/workspace/AGENTS.md	in-source-manifest
examples/acp-agent/tests/snapshots/code-mode-workspace-context/workspace/nested/AGENTS.md	in-source-manifest
examples/acp-agent/tests/snapshots/fs-glob-sampling/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/lsp-definition/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/persistent-pwsh-tool-turn/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/product-subagent-codex/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/pty-tools/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/pwsh-tool-turn/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/read-image/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/session-query-spill/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/skill-load/workspace/.dsh/skills/model-only-skill/SKILL.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/skill-load/workspace/.dsh/skills/snapshot-skill/SKILL.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/skill-load/workspace/.dsh/skills/user-only-skill/SKILL.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/subagent-continuable-inheritance/system-prompt.1.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/subagent-continuable/system-prompt.1.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/subagent-list-agents/system-prompt.1.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/subagent-report/system-prompt.1.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/text-turn/system-prompt.expected.md	excluded-test-or-fixture
examples/acp-agent/tests/snapshots/web-fetch/system-prompt.expected.md	excluded-test-or-fixture
native/landlock-run/AGENTS.md	in-source-manifest
packages/AGENTS.md	in-source-manifest
packages/CLAUDE.md	in-source-manifest
packages/client/AGENTS.md	in-source-manifest
packages/client/ui-deliverables/tests/prompt.client.spec.ts	excluded-test-or-fixture
packages/context/agent-instructions/tests/agent-instructions.e2e.ts	excluded-test-or-fixture
packages/context/agent-instructions/tests/agent-instructions.spec.ts	excluded-test-or-fixture
packages/core/system-prompt/tests/system-prompt.spec.ts	excluded-test-or-fixture
packages/experimental/AGENTS.md	in-source-manifest
packages/extensions/tool-cordis/src/prompt.ts	excluded-product-runtime-or-implementation
packages/goal/goal-round-driver/src/prompt.ts	excluded-product-runtime-or-implementation
packages/hooks/hooks-codex/tests/coverage-prompt.spec.ts	excluded-test-or-fixture
packages/schedule/AGENTS.md	in-source-manifest
packages/test-support/acp-snapshot/tests/fixtures/record-suite/rec-pin/system-prompt.expected.md	excluded-test-or-fixture
packages/test-support/acp-snapshot/tests/fixtures/suite/pin-turn/system-prompt.expected.md	excluded-test-or-fixture
packages/test-support/acp-snapshot/tests/fixtures/suite/plain-turn/system-prompt.1.expected.md	excluded-test-or-fixture
packages/web/AGENTS.md	in-source-manifest
scripts/AGENTS.md	in-source-manifest
scripts/translation-prompt.snapshot.ts	excluded-tooling-implementation
scripts/translation-prompt.spec.ts	excluded-tooling-implementation
scripts/translation-prompt.ts	excluded-tooling-implementation
scripts/verify-translation-prompt.ts	excluded-tooling-implementation
vendor/AGENTS.md	in-source-manifest
vendor/CLAUDE.md	in-source-manifest
website/AGENTS.md	in-source-manifest
